anio,cine11_hom_cod,grupo_educativo,ocupados,rem_ocupados,horas_mensuales,rem_total_mensual,rem_por_trabajador,rem_por_hora,participacion_empleo,participacion_horas
2023,7,Posgrado,1217408.5633404562,1130070.0886703148,214209004.27095255,7737911424598.7939,6847284.5199394021,36123.184694939926,0.05344965184709978,0.051363018243250354
2024,7,Posgrado,1237824.2133322593,1129646.7093047427,212089767.76407844,7848752333610.2119,6947970.78499068,37006.74679572897,0.053750650070193369,0.051221353880508982
2025,7,Posgrado,1239786.8540249453,1182717.7445165827,217659413.0470272,8184119603863.7656,6919757.1794349765,37600.577385070479,0.052037302439605235,0.050043833238744888
2010,98,No determinado,71384.869015742763,64934.4326132137,13206415.156535963,111854459720.16412,1722575.4537108641,8469.7064566235786,0.0038579344041682622,0.0038820431372757484
2011,98,No determinado,75418.872137410013,69382.136385585865,13772077.235895196,130067183546.89244,1874649.4461348683,9444.26765251422,0.0039415583488791863,0.0039372108897001851
2012,98,No determinado,86775.414931575229,78564.617193325044,15169313.247360049,152675184966.12149,1943307.183568801,10064.739416775636,0.0044017818039456128,0.004283335936950996
2013,98,No determinado,73262.961446818081,64803.22019361666,12239220.758569321,128686924201.50987,1985810.64053644,10514.306975908528,0.0036754326887556291,0.00344885097199729
2014,98,No determinado,62123.718760440242,53983.710091822366,10581582.140065463,113468504196.53006,2101902.6666290327,10723.207805277036,0.0030427045923557667,0.0029457257442825611
2015,98,No determinado,61683.474761878337,52346.636173754181,10162244.07565001,102020379624.25053,1948938.5962760684,10039.158562300618,0.0029657939528417248,0.0027856122176560623
2016,98,No determinado,9644.43276311129,6219.7885872723018,1274827.0693965433,10978696035.814352,1765123.6664667854,8611.9100381287535,0.00046098810453592816,0.00035002881420197147
2017,98,No determinado,5830.6713296644821,968.39869827382006,170122.54982934883,932190796.107416,962610.54229942174,5479.5251837131727,0.00027604575814464167,4.7006657847582876E-05
2018,98,No determinado,2874.73881907212,1808.1971560188601,352296.91625589028,1527004559.2399147,844490.07905860653,4334.42499431581,0.00013516205162141038,9.649253008390789E-05
2019,98,No determinado,2140.4560793928454,1511.1990154320536,317688.1074680711,2222488829.6509686,1470679.1143690338,6995.820043009754,0.00010045471018396922,8.32110533989675E-05
2021,98,No determinado,142310.87572483046,104994.2738703327,20528047.719771672,403009500642.19733,3838395.0456185034,19632.139701918029,0.0070278951565287051,0.0060339269910379056
2022,98,No determinado,11793.521074771877,10889.047152996063,2196562.1415922367,44945184179.528915,4127558.9634270696,20461.603761844497,0.00053557284756939911,0.00054688766233507537
2023,98,No determinado,11658.615693841806,10736.815719311153,2000405.2873966808,61636199528.644691,5740640.5343985092,30811.855935882766,0.00051186509493995609,0.00047965702291620705
2024,98,No determinado,7033.6971129425183,6284.7815081774,1142091.9301610047,27024631377.271862,4300011.2799639814,23662.395875139497,0.00030542769170732118,0.00027582422073243654
2025,98,No determinado,2469.9223411213175,1985.2657701630139,345949.59639095387,6937888026.6600676,3494689.7946517179,20054.620959348184,0.00010366951016620615,7.9540065225938326E-05
2010,1000,Total,18503391.073372263,16760127.603154657,3401923855.4375415,25310734096847.9,1510175.5008168202,7440.12363956704,1,1
2011,1000,Total,19134277.730242398,17337530.9424625,3497927243.857625,26406044384807.477,1523056.7992893774,7549.054781278428,1,1
2012,1000,Total,19713702.040794615,17686039.597375825,3541471757.2112751,26986770729714.215,1525879.8093903619,7620.2134535628466,1,1
2013,1000,Total,19933152.815164823,17819512.964851141,3548782147.4296331,28326471648735.043,1589632.2028895402,7982.0260787920661,1,1
2014,1000,Total,20417269.200734969,18099377.296558816,3592181709.5849953,29439236633495.063,1626533.120511956,8195.363991454702,1,1
2015,1000,Total,20798300.806694709,18516062.800689336,3648118719.1952271,28468879439184.867,1537523.378788983,7803.7151832232821,1,1
2016,1000,Total,20921218.287878033,18499368.786757674,3642063217.8611169,28633952223293.258,1547834.0127902192,7862.0140591928512,1,1
2017,1000,Total,21122118.915550746,18479697.955133989,3619116049.0704126,28642716333073.621,1549955.8706324075,7914.2851305999538,1,1
2018,1000,Total,21268830.892892025,18670273.881620347,3651027866.6083293,29443937922132.68,1577049.0625270524,8064.5612681902139,1,1
2019,1000,Total,21307672.636483539,19543662.305202682,3817859460.8683691,31371814271646.945,1605216.7593632394,8217.12129354061,1,1
2021,1000,Total,20249430.669526692,17483189.0179259,3402104094.1101294,30052662823260.762,1718946.2856259863,8833.5518232053037,1,1
2022,1000,Total,22020386.448444217,20618154.205403313,4016477775.7345233,35758675970703.094,1734329.6404938113,8902.9936096593083,1,1
2023,1000,Total,22776735.138014071,21533921.4740139,4170490979.6476359,38275670534703.375,1777459.3717587674,9177.7372787741369,1,1
2024,1000,Total,23029009.169484939,21632525.336088713,4140651343.5558357,40106726648437.539,1854001.1406587388,9686.09122592664,1,1
2025,1000,Total,23824963.937434081,22947975.5767382,4349375316.8074894,43735416506259.172,1905850.7518455219,10055.56276949713,1,1
